"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"222","10","0.2","898","926"
"225","10","0.11","888","916"
"226","10","0.41","678","698"
"223","10","0.04","362","328"
"224","10","0.6","154","155"
"227","10","0.55","278","287"
"228","10","0.06","563","559"
"229","10","0.08","606","648"
"231","10","0.06","597","577"
"236","10","0.03","328","257"
"233","10","0.47","452","446"
"232","10","0.39","603","639"
"244","1","0.87","0","8666"
"234","10","0.08","649","680"
"246","2","0.84","0","1"
"237","10","0.06","716","716"
"235","10","0.26","1007","1026"
"249","1","0.97","0","9692"
"238","10","0.63","91","88"
"239","10","0.16","928","960"
"243","10","0.26","791","834"
"253","1","0.88","0","8821"
"240","10","0.09","756","775"
"241","10","0.2","928","974"
"242","10","0.07","777","778"
"257","1","0.82","0","8211"
"245","10","0.51","446","450"
"260","0","0","0","0"
"259","1","0.9","0","9063"
"261","1","0.88","0","8820"
"247","10","0.35","617","642"
"248","10","0.43","487","512"
"252","10","0.68","132","137"
"250","10","0.64","92","96"
"251","10","0.43","597","607"
"267","1","0.95","0","9499"
"255","10","0.69","110","110"
"254","10","0.21","862","912"
"258","10","0.53","213","225"
"256","10","0.17","818","891"
"262","10","0.52","357","366"
"273","0","0","0","0"
"263","10","0.61","99","101"
"276","1","0.98","0","9805"
"264","10","0.25","928","944"
"265","10","0.53","397","402"
"279","1","0.82","0","8210"
"268","10","0.18","914","943"
"266","10","0.57","518","521"
"270","10","0.05","538","516"
"269","10","0.07","701","701"
"271","10","0.76","31","31"
"272","10","0.2","897","947"
"277","10","0.15","850","926"
"286","1","0.88","0","8794"
"274","10","0.51","301","326"
"278","10","0.32","745","796"
"280","10","0.54","350","367"
"281","10","0.31","721","782"
"282","10","0.41","638","682"
"275","10","0.27","816","874"
"283","10","0.58","257","258"
"285","10","0.04","419","381"
"294","1","0.92","0","9228"
"284","10","0.11","827","901"
"287","10","0.22","867","920"
"288","10","0.03","362","301"
"300","1","0.96","0","9588"
"289","10","0.04","522","508"
"290","10","0.02","332","263"
"149","10","0.45","362","393"
"291","10","0.39","617","651"
"292","10","0.62","209","198"
"293","10","0.17","902","948"
"298","10","0.07","597","630"
"296","10","0.09","705","735"
"295","10","0.04","430","380"
"299","10","0.64","121","125"
"301","10","0.09","695","734"
"302","10","0.57","280","273"
"303","10","0.63","203","199"
"312","1","0.86","0","8622"
"305","10","0.43","553","578"
"297","10","0.13","881","958"
"306","10","0.46","481","485"
"307","10","0.74","9","9"
"309","10","0.62","135","140"
"310","10","0.43","499","509"
"308","10","0.11","876","910"
"311","10","0.15","782","815"
"313","10","0.51","330","349"
"324","0","0","0","0"
"314","10","0.25","793","893"
"315","10","0.3","855","872"
"317","10","0.12","810","846"
"316","10","0.04","296","269"
"318","10","0.66","82","88"
"320","10","0.39","583","573"
"322","10","0.11","821","843"
"321","10","0.42","520","545"
"329","1","0.88","0","8778"
"319","10","0.62","203","188"
"323","10","0.21","900","946"
"326","10","0.5","321","341"
"325","10","0.04","458","445"
"327","10","0.28","743","831"
"332","10","0.14","795","863"
"338","1","0.99","0","9916"
"341","1","0.86","0","8603"
"331","10","0.65","7","9"
"333","10","0.28","796","832"
"328","10","0.35","812","886"
"334","10","0.26","840","850"
"335","10","0.64","72","73"
"330","10","0.77","3","3"
"336","10","0.39","536","537"
"339","10","0.61","217","222"
"340","10","0.3","889","934"
"349","2","0.81","0","3"
"337","10","0.67","6","6"
"343","10","0.56","245","245"
"347","10","0.67","95","96"
"344","10","0.46","385","430"
"352","2","0.78","0","3"
"353","1","1","0","10005"
"342","10","0.26","860","909"
"346","10","0.38","657","716"
"357","2","0.77","0","1"
"360","1","0.98","0","9783"
"345","10","0.1","735","804"
"348","10","0.62","187","182"
"363","1","0.86","0","8577"
"364","1","0.86","0","8587"
"355","10","0.44","441","469"
"350","10","0.45","517","546"
"351","10","0.24","974","988"
"354","10","0.06","580","583"
"369","1","0.96","0","9641"
"356","10","0.72","15","14"
"358","10","0.16","857","949"
"359","10","0.07","689","721"
"374","1","0.79","0","7962"
"361","10","0.26","881","962"
"367","10","0.73","3","3"
"362","10","0.17","909","1000"
"366","10","0.69","133","130"
"368","10","0.06","593","585"
"365","10","0.77","3","3"
"373","10","0.07","678","640"
"371","10","0.38","692","704"
"370","10","0.01","47","35"
"372","10","0.09","762","828"
"383","1","0.93","0","9300"
"375","10","0.73","28","28"
"376","10","0.2","949","1020"
"387","1","0.95","0","9529"
"377","10","0.12","881","944"
"378","10","0.53","241","250"
"390","1","0.86","0","8563"
"391","2","0.81","0","1"
"379","10","0.77","56","56"
"382","10","0.3","850","840"
"393","1","0.95","0","9520"
"394","1","0.97","0","9686"
"395","0","0","0","0"
"385","10","0.02","161","131"
"380","10","0.38","682","720"
"381","10","0.17","865","969"
"384","10","0.44","456","450"
"400","1","0.88","0","8780"
"388","10","0.01","80","56"
"386","10","0.71","84","85"
"389","10","0.32","751","782"
"403","4","0.76","0","1"
"392","10","0.14","908","926"
"399","10","0.7","82","80"
"398","10","0.55","281","293"
"397","10","0.67","110","110"
"396","10","0.4","634","688"
"401","10","0.82","3","3"
"402","10","0.37","683","736"
"404","10","0.62","242","247"
"406","10","0.64","178","174"
"415","2","0.81","0","1"
"416","1","0.95","0","9499"
"405","10","0.34","796","813"
"408","10","0.02","240","188"
"409","10","0.22","845","906"
"407","10","0.56","268","271"
"414","10","0.74","31","31"
"410","10","0.51","379","387"
"422","2","0.77","0","4"
"411","10","0.63","93","97"
"413","10","0.74","56","56"
"412","10","0.5","404","423"
"417","10","0.36","747","769"
"418","10","0.41","577","611"
"419","10","0.11","801","865"
"423","10","0.76","28","28"
"420","10","0.18","884","951"
"431","1","0.91","0","9115"
"421","10","0.15","801","870"
"424","10","0.73","31","31"
"427","10","0.48","459","486"
"425","10","0.33","677","749"
"426","10","0.37","719","734"
"428","10","0.02","183","155"
"430","10","0.66","81","81"
"429","10","0.45","462","467"
"432","10","0.18","899","955"
"433","10","0.59","241","251"
"436","10","0.4","619","618"
"435","10","0.54","256","269"
"434","10","0.38","594","651"
"447","1","0.93","0","9295"
"446","2","0.83","0","1"
"437","10","0.73","31","31"
"441","10","0.44","548","551"
"439","10","0.54","361","361"
"449","1","0.87","0","8705"
"438","10","0.72","31","31"
"440","10","0.18","898","977"
"450","1","0.97","0","9698"
"443","10","0.59","314","315"
"304","10","0.41","539","562"
"454","1","0.9","0","9035"
"442","10","0.44","565","588"
"444","10","0.29","753","792"
"445","10","0.51","360","383"
"451","10","0.17","856","921"
"448","10","0.56","380","376"
"457","10","0.73","28","28"
"456","10","0.74","90","90"
"455","10","0.7","40","41"
"452","10","0.4","512","561"
"453","10","0.21","893","948"
"464","1","0.86","0","8631"
"465","1","0.93","0","9254"
"460","10","0.69","31","31"
"459","10","0.09","752","809"
"461","10","0.22","880","976"
"462","10","0.42","504","546"
"463","10","0.13","820","856"
"473","3","0.76","0","2"
"469","10","0.79","31","31"
"466","10","0.63","175","185"
"467","10","0.12","863","928"
"472","10","0.49","396","390"
"471","10","0.51","364","361"
"470","10","0.08","706","734"
"481","1","0.93","0","9312"
"458","1","0.82","0","8207"
"468","10","0.41","660","706"
"474","10","0.59","170","178"
"486","1","0.96","0","9588"
"475","10","0.82","3","3"
"488","1","0.96","0","9576"
"476","10","0.53","336","334"
"478","10","0.67","65","65"
"491","1","0.92","0","9210"
"477","10","0.25","967","986"
"479","10","0.67","80","68"
"480","10","0.48","501","542"
"495","1","0.86","0","8671"
"496","1","0.87","0","8723"
"489","10","0.11","974","1035"
"484","10","0.14","934","996"
"482","10","0.31","787","850"
"483","10","0.12","743","794"
"487","10","0.66","126","126"
"490","10","0.18","899","962"
"504","1","0.93","0","9315"
"493","10","0.29","930","953"
"494","10","0.66","75","75"
"492","10","0.15","820","901"
"499","10","0.62","159","160"
"498","10","0.05","613","564"
"500","10","0.3","845","909"
"497","10","0.73","28","30"
"503","10","0.52","343","335"
"501","10","0.07","660","673"
"502","10","0.73","68","62"
"505","10","0.42","502","514"
"506","10","0.1","763","843"
"507","10","0.61","96","98"
"510","10","0.63","201","199"
"509","10","0.6","117","120"
"511","10","0.6","203","204"
"508","10","0.17","967","983"
"519","2","0.77","0","4"
"512","10","0.49","458","460"
