"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"970","10","0.23","840","904"
"971","10","0.28","888","926"
"967","10","0.54","362","374"
"981","1","0.86","0","8566"
"972","10","0.64","186","179"
"973","10","0.53","379","365"
"982","1","1","0","10005"
"964","10","0.32","705","756"
"980","2","0.83","0","1"
"990","1","0.89","0","8943"
"985","2","0.79","0","3"
"983","3","0.76","0","1"
"974","10","0.33","713","770"
"991","1","0.91","0","9117"
"995","1","0.99","0","9909"
"976","10","0.34","731","757"
"975","10","0.49","396","385"
"979","10","0.56","273","279"
"986","10","0.33","811","862"
"988","10","0.74","90","90"
"987","10","0.52","354","367"
"984","10","0.52","394","415"
"1000","1","0.96","0","9575"
"994","10","0.43","549","568"
"993","10","0.39","601","624"
"992","10","0.1","836","845"
"989","10","0.07","681","684"
"996","10","0.6","232","217"
"997","10","0.21","982","951"
"1007","3","0.77","0","2"
"1009","1","0.97","0","9725"
"999","10","0.04","483","425"
"1001","10","0.01","120","84"
"1002","10","0.49","436","461"
"998","10","0.03","349","276"
"1015","1","0.86","0","8599"
"1004","10","0.52","487","499"
"1005","10","0.52","283","286"
"1003","10","0.46","396","420"
"1006","10","0.46","472","482"
"1021","2","0.8","0","2"
"1008","10","0.03","359","314"
"1010","10","0.3","835","903"
"1011","10","0.07","837","841"
"1012","10","0.21","917","986"
"1014","10","0.68","68","70"
"1013","10","0.56","297","284"
"1017","10","0.6","94","99"
"1016","10","0.72","28","28"
"1020","10","0.07","570","585"
"1028","2","0.83","0","1"
"1019","10","0.58","257","247"
"1018","10","0.36","690","740"
"1030","2","0.81","0","1"
"1031","1","0.88","0","8736"
"1023","10","0.31","854","883"
"1022","10","0.03","301","248"
"1035","1","0.9","0","9056"
"1024","10","0.11","786","811"
"1025","10","0.46","409","433"
"1029","10","0.4","648","667"
"1026","10","0.19","891","922"
"1032","10","0.12","889","931"
"1036","10","0.02","275","215"
"1027","10","0.03","498","411"
"1033","10","0.14","899","954"
"1034","10","0.23","958","968"
"1037","10","0.75","28","28"
"1038","10","0.54","318","322"
"1040","10","0.74","31","31"
"1047","1","0.88","0","8828"
"1039","10","0.54","361","355"
"1050","2","0.73","0","6"
"1041","10","0.2","881","928"
"1043","10","0.04","332","308"
"1042","10","0.68","47","45"
"1045","10","0.28","832","852"
"1044","10","0.05","537","536"
"1046","10","0.44","631","630"
"1048","10","0.57","213","235"
"1051","10","0.25","908","947"
"1052","10","0.02","227","183"
"1049","10","0.22","949","1031"
"1055","10","0.04","459","445"
"1064","1","0.9","0","8993"
"1066","1","0.98","0","9835"
"1054","10","0.71","3","3"
"1053","10","0.46","369","384"
"1056","10","0.05","501","476"
"1069","1","0.9","0","8961"
"1060","10","0.74","34","34"
"1071","1","0.86","0","8600"
"1059","10","0.73","3","5"
"1058","10","0.08","722","706"
"1075","2","0.85","0","2"
"1062","10","0.45","391","409"
"1063","10","0.4","684","677"
"1061","10","0.54","326","308"
"1076","1","0.9","0","9013"
"1079","1","0.91","0","9086"
"1057","10","0.73","34","34"
"1065","10","0.22","882","930"
"1070","10","0.01","40","28"
"1067","10","0.24","853","889"
"1074","10","0.76","31","31"
"1068","10","0.59","204","207"
"1078","10","0.51","303","313"
"1077","10","0.12","875","932"
"1073","10","0.33","840","858"
"1088","1","0.84","0","8463"
"1080","10","0.47","494","498"
"1082","10","0.33","725","776"
"1072","10","0.34","807","850"
"1081","10","0.74","3","5"
"1084","10","0.73","62","62"
"1083","10","0.52","438","436"
"1085","10","0.4","614","648"
"1086","10","0.37","708","718"
"1089","10","0.71","67","67"
"1087","10","0.56","265","271"
"1091","10","0.61","164","163"
"1093","10","0.09","758","778"
"1094","10","0.51","362","367"
"1092","10","0.63","196","208"
"1090","10","0.13","809","827"
"1104","1","0.87","0","8711"
"1095","10","0.26","973","1016"
"1106","1","0.88","0","8795"
"1096","10","0.16","924","976"
"1097","10","0.46","385","402"
"1098","10","0.47","397","404"
"1100","10","0.5","314","319"
"1099","10","0.69","47","51"
"1101","10","0.33","753","790"
"1102","10","0.51","252","262"
"1103","10","0.46","438","424"
"1116","2","0.76","0","4"
"1107","10","0.09","750","754"
"1105","10","0.58","181","184"
"1108","10","0.02","281","216"
"1118","2","0.75","0","3"
"1119","2","0.77","0","2"
"1110","10","0.62","94","92"
"1113","10","0.05","597","575"
"1123","1","0.94","0","9405"
"1122","2","0.83","0","1"
"1111","10","0.64","121","121"
"1112","10","0.38","709","735"
"1109","10","0.42","577","574"
"1114","10","0.72","31","31"
"1129","2","0.76","0","8"
"1117","10","0.76","59","59"
"1115","10","0.11","969","998"
"1120","10","0.49","425","456"
"1125","10","0.76","6","6"
"1133","5","0.73","0","1"
"1121","10","0.36","629","656"
"1124","10","0.07","624","633"
"1126","10","0.27","940","1000"
"1128","10","0.65","111","111"
"1127","10","0.83","3","3"
"1132","10","0.73","40","39"
"1130","10","0.42","632","645"
"1134","10","0.42","445","498"
"1131","10","0.54","344","346"
"1144","1","0.89","0","8882"
"1136","10","0.03","516","450"
"1135","10","0.53","261","267"
"1138","10","0.76","28","28"
"1139","10","0.37","733","786"
"1149","2","0.79","0","2"
"1141","10","0.36","742","786"
"1140","10","0.09","830","880"
"1150","1","0.94","0","9381"
"1151","1","0.86","0","8583"
"1142","10","0.68","93","95"
"1137","10","0.75","6","6"
"1143","10","0.72","56","56"
"1159","0","0","0","0"
"1145","10","0.51","342","350"
"1148","10","0.73","37","37"
"1146","10","0.79","28","28"
"1147","10","0.36","684","670"
"1153","10","0.21","842","893"
"1154","10","0.39","685","698"
"1152","10","0.1","792","798"
"1155","10","0.29","876","887"
"1156","10","0.52","315","324"
"1157","10","0.65","124","125"
"1160","10","0.72","41","49"
"1170","2","0.76","0","5"
"1162","10","0.58","195","207"
"1161","10","0.62","92","97"
"1172","2","0.78","0","3"
"1173","2","0.83","0","1"
"1158","10","0.22","865","896"
"1166","10","0.57","218","206"
"1163","10","0.48","454","484"
"1168","10","0.67","71","71"
"1164","10","0.3","838","845"
"1167","10","0.75","31","31"
"1165","10","0.6","237","245"
"1169","10","0.24","884","948"
"1171","10","0.39","519","535"
"1175","10","0.22","836","918"
"1174","10","0.27","849","880"
"1176","10","0.33","776","830"
"1177","10","0.07","657","643"
"1186","2","0.8","0","4"
"1178","10","0.52","265","285"
"1180","10","0.44","428","438"
"1183","10","0.23","997","1053"
"1192","1","0.84","0","8469"
"1182","10","0.67","106","109"
"1181","10","0.65","135","138"
"1179","10","0.35","817","834"
"1184","10","0.15","822","883"
"1185","10","0.73","3","3"
"1196","1","0.83","0","8316"
"1195","3","0.01","0","1"
"1188","10","0.36","694","740"
"1187","10","0.43","463","471"
"1189","10","0.79","28","28"
"1190","10","0.14","884","896"
"1191","10","0.32","786","846"
"1193","10","0.53","230","233"
"1194","10","0.02","172","127"
"1206","2","0.86","0","1"
"1198","10","0.76","12","12"
"1210","0","0","0","0"
"1199","10","0.5","416","426"
"1202","10","0.09","776","811"
"1201","10","0.55","207","209"
"1197","10","0.59","186","192"
"1204","10","0.35","815","851"
"1200","10","0.45","442","463"
"1203","10","0.18","915","965"
"1205","10","0.19","888","943"
"1207","10","0.59","256","244"
"1209","10","0.4","631","659"
"1208","10","0.41","566","613"
"1211","10","0.68","140","148"
"1213","10","0.14","928","974"
"1212","10","0.24","960","977"
"1216","10","0.68","93","89"
"1214","10","0.02","179","142"
"1215","10","0.57","186","186"
"1217","10","0.61","61","62"
"1218","10","0.63","95","94"
"1220","10","0.69","102","102"
"1228","2","0.8","0","4"
"1219","10","0.29","897","935"
"1221","10","0.38","672","707"
"1222","10","0.76","3","3"
"1224","10","0.7","7","9"
"1223","10","0.34","692","750"
"1226","10","0.33","866","919"
"1238","1","0.95","0","9572"
"1239","1","0.82","0","8112"
"1227","10","0.34","663","729"
"1225","10","0.77","3","3"
"1229","10","0.55","254","252"
"1240","1","0.88","0","8819"
"1231","10","0.44","554","618"
"1233","10","0.06","549","543"
"1245","1","0.87","0","8762"
"1230","10","0.42","630","641"
"1232","10","0.03","339","303"
"1242","1","0.9","0","9005"
"1234","10","0.68","81","78"
"1235","10","0.31","771","761"
"1248","2","0.8","0","4"
"1236","10","0.47","411","418"
"1237","10","0.6","103","110"
"1255","1","0.97","0","9703"
"1256","1","0.99","0","9932"
"1241","10","0.81","28","28"
"1244","10","0.32","798","839"
"1247","10","0.68","3","3"
"1258","1","0.94","0","9386"
"1246","10","0.1","1011","1061"
"1243","10","0.1","810","841"
"1251","10","0.37","680","697"
"1249","10","0.72","93","93"
"1262","1","0.91","0","9047"
"1264","1","0.82","0","8208"
"1252","10","0.27","824","863"
"1263","1","0.87","0","8669"
"1253","10","0.06","703","706"
"1268","2","0.83","0","1"
"1250","10","0.6","127","133"
"1254","10","0.15","829","918"
"1257","10","0.48","472","499"
"1259","10","0.41","618","632"
"1260","10","0.4","657","692"
"1261","10","0.42","565","568"
"1266","10","0.67","63","61"
"1265","10","0.32","775","808"
"1267","10","0.59","253","254"
"1270","10","0.01","47","35"
"1271","10","0.5","455","479"
"1273","10","0.66","68","65"
"1269","10","0.52","350","335"
"1282","2","0.77","0","7"
"1275","10","0.73","15","14"
"1272","10","0.46","470","474"
"1274","10","0.22","836","888"
"1285","2","0.82","0","2"
"1276","10","0.56","283","295"
"1290","1","0.97","0","9710"
"1278","10","0.24","815","799"
"1277","10","0.49","419","419"
"1279","10","0.6","70","72"
"1293","1","0.97","0","9726"
"1280","10","0.28","757","818"
"1281","10","0.29","827","889"
"1283","10","0.25","782","835"
"1286","10","0.37","753","795"
"1284","10","0.46","438","469"
"1288","10","0.46","394","393"
"1289","10","0.05","493","460"
"1291","10","0.57","240","245"
"1287","10","0.43","461","506"
"1292","10","0.55","273","277"
"1296","10","0.04","445","411"
"1305","1","0.88","0","8753"
"1295","10","0.04","522","473"
"1294","10","0.18","917","945"
"1298","10","0.27","861","906"
"1297","10","0.31","811","859"
"1299","10","0.29","868","888"
"1310","1","0.95","0","9550"
"1312","1","0.88","0","8842"
"1311","2","0.78","0","3"
"1300","10","0.34","788","809"
"1314","1","0.92","0","9212"
"1302","10","0.57","245","258"
"1301","10","0.06","602","615"
"1303","10","0.23","939","917"
"1319","1","0.96","0","9603"
"1320","1","0.97","0","9725"
"1306","10","0.06","690","680"
"1304","10","0.67","40","43"
"1322","1","0.95","0","9484"
"1307","10","0.24","886","923"
"1323","1","0.97","0","9689"
"1325","2","0.82","0","1"
"1308","10","0.45","524","509"
"1328","1","0.99","0","9914"
"1329","1","0.96","0","9631"
"1309","10","0.52","441","449"
"1313","10","0.13","837","910"
"1317","10","0.5","421","423"
"1332","2","0.8","0","4"
"1315","10","0.72","34","34"
"1316","10","0.67","139","127"
"1318","10","0.36","642","679"
"1335","1","0.93","0","9302"
"1321","10","0.71","74","74"
"1327","10","0.1","860","894"
"1326","10","0.35","669","712"
"1330","10","0.58","237","254"
"1324","10","0.55","236","241"
"1331","10","0.33","1009","1018"
"1344","1","0.81","0","8141"
"1334","10","0.71","87","87"
"1333","10","0.66","107","114"
"1338","10","0.71","99","99"
"1346","2","0.8","0","1"
"1336","10","0.45","422","453"
"1337","10","0.78","6","6"
"1339","10","0.71","28","28"
"1340","10","0.05","661","642"
"1352","1","0.84","0","8431"
"1341","10","0.59","287","291"
"1342","10","0.68","47","46"
"1343","10","0.35","810","857"
"1357","1","0.92","0","9206"
"1345","10","0.7","69","71"
"1347","10","0.11","766","837"
"1348","10","0.72","36","31"
"1358","2","0.85","0","2"
"1349","10","0.72","14","12"
"1362","2","0.79","0","1"
"1354","10","0.57","230","244"
"1351","10","0.1","836","900"
"1350","10","0.16","820","904"
"1356","10","0.54","304","315"
"1366","2","0.75","0","5"
"1369","1","0.97","0","9712"
"1368","1","0.96","0","9592"
"1353","10","0.45","519","558"
"1355","10","0.12","900","906"
"1363","10","0.55","212","222"
"1361","10","0.41","582","611"
"1359","10","0.13","972","1012"
"1360","10","0.35","679","704"
"1364","10","0.77","28","28"
"1365","10","0.46","449","507"
"1377","2","0.85","0","1"
"1380","1","0.91","0","9081"
"1370","10","0.2","811","892"
"1382","1","0.94","0","9397"
"1367","10","0.18","980","1061"
"1371","10","0.42","597","602"
"1386","1","1","0","10005"
"1372","10","0.63","132","137"
"1374","10","0.62","127","127"
"1387","1","0.82","0","8243"
"1373","10","0.04","450","384"
"1376","10","0.01","86","63"
"1375","10","0.45","523","526"
"1379","10","0.13","917","939"
"1378","10","0.42","575","589"
"1383","10","0.11","763","824"
"1381","10","0.75","59","59"
"1397","1","0.92","0","9257"
"1384","10","0.4","574","591"
"1385","10","0.32","840","876"
"1399","1","0.89","0","8952"
"1390","10","0.48","513","544"
"1388","10","0.57","312","310"
"1389","10","0.19","992","1064"
"1401","2","0.81","0","1"
"1392","10","0.66","128","129"
"1406","1","0.88","0","8816"
"1403","1","0.81","0","8124"
"1391","10","0.44","537","562"
"1393","10","0.15","859","904"
"1394","10","0.17","818","846"
"1395","10","0.13","861","896"
"1396","10","0.33","854","924"
"1411","1","0.9","0","9001"
"1398","10","0.57","225","217"
"1400","10","0.12","889","896"
"1402","10","0.37","703","714"
"1416","1","0.94","0","9404"
"1405","10","0.54","222","235"
"1404","10","0.67","174","174"
"1407","10","0.42","550","566"
"1421","1","0.88","0","8819"
"1408","10","0.59","231","235"
"1410","10","0.47","394","422"
"1413","10","0.57","264","274"
"1423","1","0.86","0","8653"
"1414","10","0.51","406","424"
"1409","10","0.5","497","518"
"1424","2","0.86","0","1"
"1412","10","0.51","398","419"
"1426","2","0.74","0","7"
"1417","10","0.25","950","959"
"1415","10","0.6","117","125"
"1418","10","0.24","929","966"
"1419","10","0.7","59","59"
"1422","10","0.13","893","946"
"1420","10","0.28","786","878"
"1425","10","0.14","915","946"
"1427","10","0.14","942","1037"
"1429","10","0.58","241","234"
"1430","10","0.39","628","719"
"1428","10","0.78","3","3"
"1431","10","0.33","777","824"
"1441","1","0.99","0","9903"
"1432","10","0.24","894","958"
"1442","1","0.93","0","9295"
"1443","1","0.87","0","8658"
"1434","10","0.63","58","59"
"1433","10","0.72","6","6"
"1436","10","0.18","932","999"
"1438","10","0.32","760","807"
"1435","10","0.68","31","33"
"1452","1","0.97","0","9743"
"1437","10","0.59","214","223"
"1439","10","0.12","789","854"
"1440","10","0.33","627","740"
"1454","1","0.82","0","8250"
"1445","10","0.34","730","756"
"1458","1","0.87","0","8699"
"1444","10","0.46","414","423"
"1446","10","0.04","417","338"
"1447","10","0.01","40","28"
"1450","10","0.65","123","115"
"1449","10","0.43","615","630"
"1451","10","0.56","245","265"
"1448","10","0.36","678","700"
"1463","1","0.96","0","9629"
"1464","2","0.77","0","5"
"1453","10","0.56","259","254"
"1468","1","0.93","0","9304"
"1455","10","0.23","928","980"
"1456","10","0.04","381","349"
"1472","1","0.95","0","9477"
"1457","10","0.24","932","981"
"1459","10","0.58","216","221"
"1460","10","0.16","985","1020"
"1461","10","0.02","267","215"
"1462","10","0.63","151","154"
"1477","1","0.93","0","9312"
"1465","10","0.69","173","173"
"1467","10","0.11","807","890"
"1478","1","0.89","0","8951"
"1466","10","0.08","756","775"
"1469","10","0.38","650","695"
"1471","10","0.51","370","370"
"1473","10","0.19","857","942"
"1470","10","0.27","788","842"
"1475","10","0.07","663","682"
"1476","10","0.14","875","901"
"1480","10","0.25","861","891"
"1481","10","0.49","438","450"
"1474","10","0.18","961","943"
"1490","1","0.98","0","9793"
"1479","10","0.04","459","413"
"1492","1","0.9","0","8982"
"1484","10","0.71","116","115"
"1493","1","0.97","0","9690"
"1482","10","0.53","411","408"
"1485","10","0.07","711","746"
"1483","10","0.52","238","243"
"1486","10","0.61","173","172"
"1500","1","0.99","0","9908"
"1487","10","0.45","409","415"
"1488","10","0.14","888","915"
"1489","10","0.12","810","910"
"1491","10","0.77","35","39"
"1494","10","0.2","978","1023"
"1497","10","0.07","642","646"
"1496","10","0.65","150","150"
"1499","10","0.32","722","771"
"1507","1","0.84","0","8377"
"1495","10","0.32","828","859"
"1510","1","0.96","0","9600"
"1513","1","0.9","0","9018"
"1511","2","0.9","0","1"
"1498","10","0.17","961","1003"
"1501","10","0.33","851","849"
"1502","10","0.61","166","171"
"1504","10","0.43","497","545"
"1517","1","0.91","0","9080"
"1519","1","0.85","0","8469"
"1521","1","0.97","0","9725"
"1503","10","0.12","942","990"
"1506","10","0.26","808","839"
"1505","10","0.17","996","1026"
"1508","10","0.06","538","544"
"1509","10","0.73","31","31"
"1515","10","0.06","523","564"
"1514","10","0.02","185","138"
"1512","10","0.34","685","730"
"1516","10","0.53","374","384"
"1518","10","0.63","123","123"
"1520","10","0.03","265","214"
"1530","2","0.82","0","1"
"1524","10","0.51","424","412"
"1522","10","0.16","879","925"
"1526","10","0.72","34","34"
"1525","10","0.44","479","527"
"1523","10","0.57","301","288"
"1527","10","0.42","517","528"
"1540","2","0.84","0","3"
"1528","10","0.16","948","996"
"1529","10","0.21","865","950"
"1532","10","0.68","186","184"
"1533","10","0.15","895","931"
"1531","10","0.38","586","610"
"1535","10","0.48","468","465"
"1536","10","0.49","420","419"
"1537","10","0.5","368","377"
"1534","10","0.64","145","145"
"1549","1","0.84","0","8392"
"1538","10","0.6","137","139"
"1539","10","0.12","944","995"
"1553","1","0.89","0","8862"
"1541","10","0.58","208","212"
"1542","10","0.35","709","706"
"1543","10","0.73","32","32"
"1545","10","0.17","897","987"
"1556","1","0.96","0","9593"
"1544","10","0.18","866","972"
"1548","10","0.73","31","29"
"1547","10","0.56","448","445"
"1557","2","0.8","0","2"
"1546","10","0.34","741","813"
"1551","10","0.11","757","823"
"1563","2","0.79","0","5"
"1552","10","0.43","564","546"
"1550","10","0.37","666","679"
"1567","2","0.85","0","1"
"1554","10","0.5","381","412"
"1555","10","0.56","270","274"
"1558","10","0.5","343","359"
"1561","10","0.32","780","852"
"1560","10","0.34","764","838"
"1562","10","0.34","739","798"
"1575","1","0.86","0","8569"
"1559","10","0.6","230","226"
"1565","10","0.26","920","954"
"1566","10","0.34","766","865"
"1564","10","0.18","888","949"
"1576","1","0.91","0","9129"
"1579","1","0.85","0","8524"
"1569","10","0.53","288","294"
"1568","10","0.14","910","902"
"1570","10","0.76","28","28"
"1584","1","0.89","0","8872"
"1571","10","0.17","898","946"
"1572","10","0.08","644","634"
"1573","10","0.48","535","564"
"1588","1","0.95","0","9498"
"1587","1","0.96","0","9605"
"1574","10","0.73","6","6"
"1578","10","0.77","6","6"
"1581","10","0.71","30","29"
"1577","10","0.13","899","969"
"1582","10","0.03","210","192"
"1580","10","0.05","474","475"
"1595","1","0.93","0","9348"
"1596","1","0.93","0","9288"
"1583","10","0.47","470","503"
"1598","1","0.81","0","8070"
"1600","1","0.86","0","8591"
"1585","10","0.23","816","891"
"1589","10","0.76","3","3"
"1603","1","0.84","0","8370"
"1586","10","0.31","767","792"
"1593","10","0.19","906","961"
"1592","10","0.41","642","653"
"1591","10","0.27","854","910"
"1594","10","0.3","829","881"
"1590","10","0.56","416","383"
"1599","10","0.62","253","266"
"1597","10","0.53","328","326"
"1602","10","0.79","3","3"
"1601","10","0.34","585","643"
"1604","10","0.66","199","205"
"1607","10","0.56","223","228"
"1605","10","0.05","482","459"
"1610","10","0.63","96","96"
"1608","10","0.06","602","644"
"1609","10","0.74","3","3"
"1606","10","0.13","830","865"
"1618","1","0.94","0","9423"
"1611","10","0.74","59","59"
"1622","1","0.97","0","9729"
"1624","1","0.87","0","8684"
"1626","0","0","0","0"
"1625","1","0.93","0","9310"
"1612","10","0.76","3","3"
"1613","10","0.59","286","291"
"1616","10","0.28","863","859"
"1630","1","0.89","0","8845"
"1614","10","0.17","978","1010"
"1615","10","0.57","335","317"
"1617","10","0.22","864","875"
"1631","1","0.89","0","8887"
"1635","1","0.98","0","9811"
"1619","10","0.54","305","304"
"1623","10","0.09","865","865"
"1627","10","0.75","48","36"
"1620","10","0.09","785","776"
"1621","10","0.55","303","323"
"1628","10","0.52","349","363"
"1629","10","0.41","595","623"
"1644","1","0.85","0","8486"
"1636","10","0.48","361","357"
"1632","10","0.18","896","1017"
"1637","10","0.69","96","97"
"1633","10","0.64","200","201"
"1646","1","0.84","0","8376"
"1638","10","0.38","698","738"
"1634","10","0.32","776","830"
"1652","1","0.85","0","8500"
"1640","10","0.36","696","685"
"1639","10","0.48","454","472"
"1641","10","0.26","911","893"
"1642","10","0.35","784","806"
"1656","1","0.89","0","8871"
"1643","10","0.03","317","266"
"1645","10","0.61","144","140"
"1647","10","0.02","183","138"
"1651","10","0.66","79","87"
"1650","10","0.09","717","714"
"1649","10","0.08","626","640"
"1648","10","0.27","909","944"
"1663","2","0.8","0","1"
"1653","10","0.17","871","901"
"1654","10","0.25","905","963"
"1655","10","0.64","136","138"
"1658","10","0.65","107","106"
"1657","10","0.11","750","800"
"1659","10","0.08","703","726"
"1660","10","0.83","3","3"
"1662","10","0.2","954","1001"
"1661","10","0.31","836","851"
"1664","10","0.21","871","915"
"1666","10","0.07","752","750"
"1672","3","0.87","0","1"
"1676","1","0.93","0","9249"
"1665","10","0.1","834","849"
"1668","10","0.73","2","2"
"1667","10","0.67","163","169"
"1679","1","0.85","0","8523"
"1669","10","0.47","466","468"
"1671","10","0.51","369","373"
"1670","10","0.2","953","1047"
"1673","10","0.01","37","28"
"1674","10","0.39","648","670"
"1677","10","0.29","904","941"
"1675","10","0.34","802","860"
"1681","10","0.64","69","72"
"1680","10","0.64","123","121"
"1682","10","0.39","747","775"
"1678","10","0.12","873","920"
"1685","10","0.72","59","59"
"1683","10","0.15","912","940"
"1694","1","0.88","0","8854"
"1684","10","0.28","908","939"
"1688","10","0.7","28","33"
"1687","10","0.45","399","434"
"1686","10","0.11","812","830"
"1689","10","0.45","491","512"
"1702","1","0.94","0","9390"
"1690","10","0.56","180","203"
"1695","10","0.05","634","620"
"1691","10","0.41","633","643"
"1696","10","0.26","854","876"
"1693","10","0.44","474","463"
"1692","10","0.1","867","938"
"1708","1","0.87","0","8667"
"1698","10","0.45","415","414"
"1710","1","0.98","0","9812"
"1699","10","0.39","606","658"
"1697","10","0.71","31","31"
"1713","1","0.97","0","9684"
"1712","1","0.98","0","9791"
"1700","10","0.29","974","949"
"1717","1","0.94","0","9406"
"1718","1","0.82","0","8148"
"1703","10","0.7","28","28"
"1705","10","0.52","382","390"
"1706","10","0.15","802","854"
"1701","10","0.37","649","658"
"1704","10","0.76","34","34"
"1722","2","0.81","0","1"
"1721","2","0.86","0","1"
"1707","10","0.53","426","418"
"1709","10","0.34","679","696"
"1715","10","0.4","538","552"
"1711","10","0.31","676","733"
"1714","10","0.71","34","34"
"1716","10","0.03","344","303"
"1720","10","0.25","848","897"
"1719","10","0.24","860","971"
"1734","1","0.9","0","8982"
"1726","10","0.01","40","28"
"1725","10","0.01","74","52"
"1724","10","0.16","887","972"
"1727","10","0.03","178","153"
"1723","10","0.37","676","748"
"1736","1","0.99","0","9917"
"1729","10","0.36","560","588"
"1728","10","0.33","787","839"
"1730","10","0.55","280","271"
"1731","10","0.21","886","898"
"1732","10","0.76","84","84"
"1733","10","0.6","110","117"
"1746","1","0.94","0","9418"
"1748","1","0.89","0","8879"
"1737","10","0.61","171","174"
"1735","10","0.65","39","42"
"1741","10","0.61","139","139"
"1751","1","0.89","0","8956"
"1739","10","0.55","229","235"
"1738","10","0.26","827","847"
"1740","10","0.68","122","122"
"1742","10","0.38","606","651"
"1754","2","0.86","0","1"
"1756","1","0.89","0","8896"
"1757","1","0.89","0","8890"
"1747","10","0.6","177","176"
"1744","10","0.64","81","88"
"1745","10","0.52","318","352"
"1743","10","0.32","764","777"
"1761","1","0.92","0","9244"
"1749","10","0.55","282","291"
"1750","10","0.34","843","838"
"1766","1","0.9","0","8956"
"1752","10","0.22","939","965"
"1767","1","0.92","0","9210"
"1764","3","0.81","0","2"
"1753","10","0.42","625","630"
"1755","10","0.17","798","866"
"1772","1","0.9","0","8981"
"1773","1","0.99","0","9898"
"1758","10","0.26","882","905"
"1774","1","0.9","0","8979"
"1760","10","0.12","868","883"
"1776","1","0.89","0","8875"
"1778","1","0.85","0","8487"
"1759","10","0.2","862","910"
"1781","1","0.91","0","9073"
"1765","10","0.7","89","95"
"1762","10","0.46","493","535"
"1769","10","0.47","430","441"
"1768","10","0.53","448","440"
"1763","10","0.26","893","987"
"1771","10","0.42","514","540"
"1770","10","0.48","415","427"
"1777","10","0.68","86","84"
"1775","10","0.14","888","937"
"1780","10","0.01","43","31"
"1779","10","0.02","273","198"
"1785","10","0.62","209","217"
"1783","10","0.05","434","416"
"1794","1","0.94","0","9453"
"1786","10","0.46","375","387"
"1784","10","0.52","407","445"
"1782","10","0.5","356","366"
"1788","10","0.43","432","447"
"1787","10","0.06","570","551"
"1789","10","0.54","374","358"
"1792","10","0.49","413","426"
"1793","10","0.55","287","293"
"1790","10","0.29","909","933"
"1791","10","0.64","210","215"
"1795","10","0.07","646","681"
"1796","10","0.02","282","227"
"1806","2","0.81","0","2"
"1797","10","0.51","431","429"
"1808","1","0.92","0","9177"
"1798","10","0.52","416","435"
"1799","10","0.3","887","952"
"1800","10","0.65","99","96"
"1801","10","0.38","568","629"
"1802","10","0.3","772","811"
"1803","10","0.06","602","596"
"1805","10","0.55","341","343"
"1804","10","0.69","55","56"
"1807","10","0.02","102","79"
"1819","2","0.8","0","1"
"1810","10","0.04","522","445"
"1809","10","0.6","250","264"
"1820","2","0.78","0","2"
"1811","10","0.1","689","736"
"1812","10","0.7","3","3"
"1813","10","0.5","381","388"
"1826","2","0.88","0","1"
"1816","10","0.61","181","199"
"1817","10","0.34","718","778"
"1814","10","0.6","275","282"
"1815","10","0.33","807","883"
"1827","1","0.85","0","8510"
"1818","10","0.14","999","1112"
"1822","10","0.5","314","327"
"1821","10","0.66","115","104"
"1824","10","0.06","552","575"
"1825","10","0.11","789","808"
"1823","10","0.3","986","1011"
"1830","10","0.71","9","9"
"1840","1","0.94","0","9411"
"1828","10","0.58","166","168"
"1829","10","0.61","229","225"
"1831","10","0.35","778","784"
"1843","1","0.91","0","9103"
"1834","10","0.11","754","831"
"1832","10","0.33","761","797"
"1833","10","0.26","847","862"
"1845","1","0.86","0","8592"
"1835","10","0.1","762","792"
"1838","10","0.67","166","167"
"1849","1","0.93","0","9294"
"1836","10","0.58","220","246"
"1850","1","0.86","0","8639"
"1837","10","0.04","300","274"
"1855","1","0.91","0","9121"
"1839","10","0.22","921","948"
"1841","10","0.36","627","647"
"1842","10","0.32","847","864"
"1844","10","0.13","878","928"
"1859","1","0.89","0","8873"
"1846","10","0.31","834","884"
"1851","10","0.35","679","707"
"1862","1","0.91","0","9078"
"1848","10","0.51","413","433"
"1852","10","0.44","746","716"
"1847","10","0.22","1001","1022"
"1853","10","0.08","646","659"
"1854","10","0.34","689","727"
"1856","10","0.64","200","199"
"1866","2","0.82","0","2"
"1857","10","0.08","753","781"
"1858","10","0.71","59","59"
"1870","3","0.74","0","3"
"1874","1","0.95","0","9517"
"1872","2","0.81","0","2"
"1863","10","0.74","37","37"
"1860","10","0.33","777","778"
"1861","10","0.68","99","99"
"1864","10","0.53","367","367"
"1878","1","0.91","0","9076"
"1869","10","0.04","440","406"
"1868","10","0.22","869","900"
"1865","10","0.76","3","3"
"1883","1","0.95","0","9490"
"1867","10","0.21","989","1014"
"1871","10","0.42","466","476"
"1873","10","0.28","817","802"
"1875","10","0.47","448","456"
"1877","10","0.5","331","370"
"1876","10","0.76","28","28"
"1891","1","0.88","0","8784"
"1880","10","0.01","7","7"
"1881","10","0.68","34","34"
"1892","1","0.95","0","9479"
"1879","10","0.29","838","915"
"1882","10","0.39","613","628"
"1885","10","0.26","850","899"
"1884","10","0.43","460","493"
"1887","10","0.06","643","629"
"1899","1","0.92","0","9201"
"1888","10","0.21","890","905"
